,Unnamed: 0.1,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,0,,0.0,14000.0,5.14366,,,
1,1,,-24.26668,14006.615,5.0829635,,,
2,2,,-51.8448,14014.132,5.015879,,,
3,3,,-84.04219,14022.595,4.9402494,,,
4,4,,-121.44704,14032.002,4.8559103,,,
5,5,,-164.65068,14042.297,4.763035,,,
6,6,,-214.22017,14053.347,4.662233,,,
7,7,,-270.66095,14064.925,4.55459,,,
8,8,,-334.36658,14076.687,4.4417434,,,
9,9,,-405.56207,14088.148,4.3258567,,,
10,10,,-484.23615,14098.676,4.2095633,,,
11,11,,-570.0699,14107.445,4.095824,,,
12,12,,-662.3608,14113.494,3.9877176,,,
13,13,,-759.95917,14115.664,3.8881626,,,
14,14,,-861.22205,14112.63,3.799593,,,
15,15,,-964.0081,14102.932,3.723617,,,
16,16,,-1065.7332,14084.922,3.6607416,,,
17,17,,-1163.5095,14056.826,3.6102052,,,
18,18,,-1254.3835,14016.712,3.5700145,,,
19,19,,-1335.6763,13962.485,3.5372152,,,
20,20,,-1405.3982,13891.879,3.5083523,,,
21,21,,-1462.6917,13802.429,3.4799995,,,
22,22,,-1508.1855,13691.424,3.4492323,,,
23,23,,-1544.0728,13555.804,3.413828,,,
24,24,,-1573.7194,13391.973,3.3721607,,,
25,25,,-1600.73,13195.542,3.3229058,,,
26,26,,-1627.433,12961.061,3.264775,,,
27,27,,-1655.7008,12681.797,3.1963136,,,
28,28,,-1684.1786,12349.566,3.1157963,,,
29,29,,-1712.1927,11954.445,3.0210743,,,
30,30,,-1738.298,11484.138,2.9093192,,,
31,31,,-1759.857,10922.954,8.44324,,,
32,32,,2127.5137,10849.631,12.978144,,,
33,33,,2328.6448,10880.755,12.779302,,,
34,34,,2582.6855,10910.214,12.520267,,,
35,35,,2896.5706,10934.418,12.198037,,,
36,36,,3272.2236,10947.35,11.82289,,,
37,37,,3702.9102,10938.857,11.422273,,,
38,38,,4170.2856,10892.165,11.035544,,,
39,39,,4644.5693,10781.323,10.694707,,,
40,40,,5092.1343,10571.122,10.3967,,,
41,41,,5494.7334,10222.629,10.09084,,,
42,42,,5873.2217,9699.722,9.695978,,,
43,43,,6294.3438,8959.286,9.104178,,,
44,44,,6862.5063,7913.2104,7.897538,,,
45,45,,9554.134,4437.6387,13.611577,,,
46,46,,9567.42,4668.444,13.529263,,,
47,47,,9566.258,4881.7983,13.470431,,,
48,48,,9531.641,5081.053,13.424461,,,
49,49,,9420.44,5272.236,13.370132,,,
50,50,,9130.82,5469.022,13.229201,,,
51,51,,8422.39,5695.6997,12.63697,,,
52,52,,6855.88,7096.9473,6.7662005,,,
53,53,,10045.185,5030.087,13.354435,,,
54,54,,10306.199,5053.17,13.213516,,,
55,55,,10786.379,4978.277,12.780887,,,
56,56,,11689.418,4485.706,10.715177,,,
57,57,,13522.359,1270.1567,4.9338355,,,
58,58,,13634.402,481.6266,4.57983,13634.402    481.6266  =>  4.57983,,
59,59,,13411.288,26.434052,4.4070945,13411.288       26.434052  =>  4.4070945,,
